company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Jaypore,E-Commerce,Internet,New Delhi,Delhi,Jaypore is a curated social commerce platform that allows artisans and independent producers from India to sell their products online.,—,$50M to $100M,"Feb 2, 2011",www.jaypore.com,4,Aarti Jesrani,Deap Ubhi,101-250,3,M&A,"Oct 10, 2016","$ 30,00,000.00",Venture - Series Unknown,"$ 83,75,000.00",Aavishkaar Venture Capital,Haresh Chawla,,,,2
nurserylive,E-Commerce,Home and Garden,Pune,Maharashtra,Nurserylive is a plant nursery store that provides wide range of natural plants and accessories products.,—,$1M to $10M,"Jan 1, 2014",www.nurserylive.com,2,Nandu Singh,Nidhi Singh,Nov-50,1,Seed,"Jul 1, 2019","₹ 2,59,00,000.00",Seed,"₹ 2,59,00,000.00",Guild Capital,,,,,1
airpay,E-Commerce,Payments,Mumbai,Maharashtra,Airpay offers online payment gateway solutions for e-commerce and retail markets in India.,—,—,2012,www.airpay.co.in/,3,Amit Kapoor,Kunal Jhunjhunwala,251-500,1,Early Stage Venture,"Mar 27, 2017","$ 36,00,000.00",Series A,"$ 36,00,000.00",Kalaari Capital,Rakesh Jhunjhunwala,Rajesh Jhunjhunwala,,,3
Belong,Big Data,Internet,Bangalore,Karnataka,Belong is a Bangalore-based recruitment startup,560075,Less than $1M,2014,belong.co/,2,Rishabh Kaul,Sudheendra Chilappagari,Nov-50,3,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 1,50,00,000.00",Blume Ventures,Matrix Partners India,Peak XV Partners,Kunal Bahl,InnoVen Capital,8
EVage,Automotive,,Chandigarh,Chandigarh,EVage is a mobility tech company.,—,$10M to $50M,2014,evage.com,3,Harnoor Kaur,Inderveer Singh,101-250,2,Seed,"Jan 13, 2022","$ 2,80,00,000.00",Seed,"$ 2,80,00,000.00",RedBlue Capital,Anand Shah,Anmol Nayyar,Varun Pahwa,,4
Appario Retail,E-Commerce,Retail,New Delhi,Delhi,Appario Retail is a retailer and seller of electronic products.,110048,$10M to $50M,"Oct 19, 2012",appario.in/,1,Ashok Patni,,101-250,2,—,"Jan 10, 2018","₹ 1,20,00,00,000.00",Venture - Series Unknown,"₹ 2,20,00,00,000.00",Frontizo Business Services,,,,,1
Arya.ai,Artificial Intelligence (AI),Banking,Mumbai,Maharashtra,Arya.ai offers 'Autonomous AI' product stack for financial institutions to automate and augment core business tasks using Deep Learning.,—,—,"Oct 20, 2013",arya.ai,2,Deekshith Marla,Vinay Kumar Sankarapu,Nov-50,1,Seed,"Dec 23, 2015","$ 7,50,000.00",Seed,"$ 7,50,000.00",YourNest Venture Capital,VentureNursery,,,,2
Smartron,Artificial Intelligence (AI),Consumer Electronics,Hyderabad,Andhra Pradesh,"Smartron is a global technology OEM brand offering intelligent experiences through tronX, the AI powered IoT platform.",500032,$10M to $50M,2014,www.smartron.com/,3,Mahesh Lingareddy,Narsi Reddy Posham,101-250,7,Private Equity,"Jan 24, 2022","$ 20,00,00,000.00",Private Equity,"$ 21,05,46,000.00",Sanjay Jha,TAQNIA,The Global Emerging Markets Group,Silpa Chaitanya Pakanati,,4
Falcon,Developer Tools,Financial Services,Haryana,Haryana,"Falcon is a software company that builds fintech products such as payments, accounts, lending, cards, and wallets.",122001,$1M to $10M,2012,www.falconfs.com/,1,Priyanka Kanwar,,Nov-50,1,Seed,"Oct 14, 2021","$ 20,00,000.00",Seed,"$ 20,00,000.00",Trajectory Ventures,Kube VC,Sprint Vc,West Quad Ventures,,4
SHEROES,E-Commerce,Mobile Apps,Delhi,Delhi,"Largest women-only social platform accessible via Sheroes.com and the SHEROES app. Built on the core values of safety, trust, empathy",—,$1M to $10M,2013,sheroes.com/,4,Sairee Chahal,Satyadeep Karnati,101-250,3,Early Stage Venture,"Sep 18, 2018",—,Series B,"$ 25,71,942.00",500 Global,Binny Bansal,Quintillion media,Lumis Partners,Anand Chandrasekaran,9
Ginglani Distillers,Distillery,Food and Beverage,,,"Ginglani Distillers, makers of Woodsmen Mountain Whiskey, India-based Himalayan Whiskey Co.",110019,—,2012,www.ginglanidistillers.com,,,,,,,,,,,,,,,,
coupled with our constant hunger to innovate,and cheekily push back the status quo,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/ginglani-distillers,Asia-Pacific (APAC),https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/ginglani-distillers,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/ginglani-distillers,"₹ 5,15,00,000.00",https://www.crunchbase.com/organization/eagle10-ventures,Supermorpheus,3,9,Rohan Mirchandani,Nitin Kaushal,https://www.crunchbase.com/person/nitin-kaushal,,,,,,,,,
SUGAR Cosmetics,Beauty,Brand Marketing,Mumbai,Maharashtra,SUGAR Cosmetics is a cruelty-free makeup brand that offers a wide range of premium makeup products.,—,$50M to $100M,2012,in.sugarcosmetics.com,2,Kaushik Mukherjee,Vineeta Singh,251-500,6,Seed,"Sep 3, 2022",—,Angel,"$ 8,75,00,000.00",Elevation Capital,L Catterton,Stride Ventures,A91 Partners,Anicut Capital,9
Housejoy,Beauty,Fitness,Bengaluru,Karnataka,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,560071,$50M to $100M,2014,www.housejoy.in,3,Arjun Kumar,Sanchit Gaurav,101-250,3,Early Stage Venture,"Dec 13, 2018","$ 32,40,000.00",Series B,"$ 3,02,40,000.00",Amazon,Matrix,Vertex Ventures,Matrix Partners India,Qualcomm Ventures,9
Culture Machine,Advertising,Digital Media,Mumbai,Maharashtra,"Culture Machine is a media company that helps creators, brands, and traditional media firms reach the right viewers.",400062,$10M to $50M,2013,culturemachine.co,2,Sameer Pitalwalla,Venkat Prasad,251-500,2,Early Stage Venture,"Feb 5, 2015","$ 1,80,00,000.00",Series B,"$ 2,15,00,000.00",Tiger Global Management,Times Internet,Zodius Capital,,,3
LectureNotes,E-Learning,Education,Bhubaneswar,Orissa,LectureNotes is a e-learning platform for the higher education students.,751024,$1M to $10M,"Dec 15, 2011",lecturenotes.in/,4,MD Fazal Mustafa,Shouradeep Chakraborty,101-250,2,Seed,"Mar 24, 2022","$ 25,00,000.00",Seed,"$ 28,51,094.00",Jani Ventures,,,,,1
Alpha Alternatives,Asset Management,Financial Services,Mumbai,Maharashtra,"Alpha Alternatives is an investment firm that offers a range of investment products, asset management and financial advisory services.",400013,—,2013,www.alt-alpha.com,—,,,101-250,2,Early Stage Venture,"Sep 19, 2022","₹ 1,30,00,00,000.00",Series A,"₹ 2,40,00,00,000.00",,,,,,—
NxtGen Data Center & Cloud Services,Cloud Computing,Cloud Infrastructure,Bangalore,Karnataka,"NxtGen Data Center and Cloud Services is IT platform-as-a-service, providing data center and enterprise cloud services to businesses.",560 066,Less than $1M,2012,nxtgen.com,4,Kalidindi Bhaskar Varma,Raj Gopal A S,101-250,2,M&A,"Jul 1, 2015","$ 1,35,00,000.00",Series B,"$ 2,23,00,000.00",Intel Capital,International Finance Corporation,Axon Partners Group,,,3
Futwork,Marketing,Virtual Workforce,Mumbai,Maharashtra,Futwork helps students in India get micro-jobs to add to their pocket money,—,$1M to $10M,2014,futwork.com/,4,Armaan Vananchal,Karan Karnik,51-100,3,Seed,"Apr 5, 2022","$ 10,00,000.00",Seed,"$ 10,00,000.00",Blume Ventures,AAFM,Simile Venture Partners,Phanindra Sama,Shivakumar Ganesan,6
Imagimake,Marketing,,Vile Parle,Maharashtra,"Imagimake provides a range of constructive and innovative toys and games across themes that help children in learning, education.",—,Less than $1M,"Sep 1, 2011",www.imagimake.com/,2,Disha Katharani,Ravi Jalan,Nov-50,3,—,"Oct 14, 2023","₹ 20,00,00,000.00",Venture - Series Unknown,"₹ 24,40,00,000.00",Velocity,Pidilite Ventures,Roha Investment Managers,Saumil Shah,,4
Juicy Chemistry,Beauty,Health Care,Coimbatore,Tamil Nadu,Juicy Chemistry operates as an eponymous consumer brand.,—,Less than $1M,2014,juicychemistry.com/,2,Megha Desai Asher,Pritesh Asher,01-Oct,3,—,"Jun 1, 2021",—,Venture - Series Unknown,"$ 69,50,000.00",Verlinvest,Spring Marketing Capital,Akya Ventures,,,3
FAB BAG,Beauty,Cosmetics,Mumbai,Maharashtra,Beauty & Grooming Discovery/Subscription,—,$1M to $10M,"Jul 15, 2012",www.fabbag.com,—,",",https://www.crunchbase.com/person/kaushik-mukherjee,https://www.crunchbase.com/person/vineeta-singh-2,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/fab-bag,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/fab-bag,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/fab-bag,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/fab-bag,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/fab-bag,,https://www.crunchbase.com/organization/india-quotient,,,,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/fab-bag
Aereo,Aerospace,Business Intelligence,Bangalore,Karnataka,Aereo (formerly known as Aarav Unmanned Systems) is the leading end-to-end drone solutions company in India.,560064,—,"Sep 26, 2013",aus.co.in/,4,Nikhil Upadhye,Suhas Banshiwala,501-1000,2,Seed,"Mar 7, 2018","$ 3,84,566.00",Seed,"$ 7,48,499.00",500 Global,3one4 Capital,growX ventures,StartupXseed Ventures,ANG Group,8
Teabox,Delivery,E-Commerce,Darjeeling,West Bengal,Teabox develops an online platform that offers organic tea and tea-based products direct from the source.,734008,$10M to $50M,2012,in.teabox.com/,2,Kausshal Dugarr,Prachi Jain,251-500,9,—,"Jul 18, 2019",—,Venture - Series Unknown,"$ 1,40,00,000.00",DBS Bank,Accel,JAFCO Asia,Dragoneer Investment Group,RB Investments Pte. Ltd.,10
NewsBytes,Artificial Intelligence (AI),Media and Entertainment,Gurgaon,Haryana,NewsBytes is India's only media-technology leveraging AI-powered engine to create content in multiple languages across formats.,122009,$1M to $10M,"Feb 27, 2013",www.newsbytesapp.com,3,Romesh Khaddar,Shikha Chaudhry,51-100,4,Early Stage Venture,"Apr 27, 2020","$ 15,00,000.00",Series A,"$ 25,50,000.00",ah! Ventures,Mumbai Angels,SenseAI Ventures,Powerhouse Ventures,North Base Media,9
Sukkhi Jewellery,Fashion,Jewelry,Mumbai,Maharashtra,Sukkhi Jewellery is a retail startup that designs and sells jewelry collections for men and women.,—,$10M to $50M,2012,sukkhi.com/,2,Bhavesh Navlakha,Prashant Gupta,51-100,1,—,"Oct 29, 2018","₹ 51,00,00,000.00",Venture - Series Unknown,"₹ 51,00,00,000.00",Carpediem Capital,Duane Park,,,,2
Boonbox,E-Commerce,,Mylapore,Tamil Nadu,Boonbox is the eCommerce venture of Inthree Access Services.,600 004,Less than $1M,2013,boonbox.com/,2,Kartick Natarajan,Ramanathan Ramachandran,101-250,3,—,"Oct 15, 2019",—,Venture - Series Unknown,"₹ 25,00,00,000.00",VenturEast,Orios Venture Partners,Keiretsu Forum,IAN Fund,,4
Styledotme,Augmented Reality,E-Commerce,Delhi,Delhi,Styledotme is an Augmented Realty SaaS company .Their platform MirrAR is the worlds first real time AR software for Jewellers,110001,—,2014,mirrar.in,2,Akhil Tolani,Meghna Saraogi,Nov-50,3,Seed,"Jul 20, 2020","₹ 3,50,00,000.00",Seed,"₹ 3,50,00,000.00",Indian Angel Network,Survam Partners,Rajan Anandan,Raman Roy,Saurabh Srivastava,11
Faircent,Banking,Financial Services,Haryana,Haryana,Faircent.com is a website where borrowers and lenders connect directly.,122002,—,2013,www.faircent.com/,3,Nitin Gupta,Rajat Gandhi,51-100,9,Late Stage Venture,"Aug 13, 2019",—,Series C,"$ 97,50,000.00",JM Financial,Muthoot Fincorp Limited,3one4 Capital,Brand Capital,Incofin Investment Management,14
Fitternity,Fitness,Health Care,Pune,Maharashtra,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey.,411048,$1M to $10M,"Sep 16, 2013",www.fitternity.com/,2,Jayam Vora,Neha Motwani,101-250,6,M&A,"Aug 28, 2019",—,Series A,"$ 75,00,000.00",Sixth Sense Ventures,Exfinity Venture Partners,Arihant Patni,Anjali Bansal,Saha Fund,8
Payswiff,E-Commerce,Financial Services,Hyderabad,Andhra Pradesh,"PaySwiff is India's leading omni channel transactions solution provider to small, medium and large enterprises.",500032,Less than $1M,"Sep 1, 2013",www.payswiff.com,5,Anil Bharadwaj,Krishna Kishore,101-250,6,M&A,"Nov 30, 2017","$ 18,20,000.00",Series A,"$ 1,07,23,000.00",Hard Yaka,Mitesh Majithia,True Global Ventures (TGV),Yadu Corporation,Vinesh Narandas Davda,7
CredoPay,Financial Services,Payments,Chennai,Tamil Nadu,CredoPay is a Platform as a Service payment platform that provides our clientele a medium for secure & seamless financial transactions.,600032,$1M to $10M,2014,www.credopay.com/,—,,,51-100,1,Seed,"Mar 9, 2022","₹ 38,00,00,000.00",Seed,"₹ 38,00,00,000.00",Zent International,EzSwype,,,,2
Pi Beam,Automotive,,Chennai,Tamil Nadu,Pi Beam is a startup that makes electric tricycles.,600113,—,2013,pibeamlabs.com/,3,Jacob Thekkekara,Manu Iyer,01-Oct,4,Seed,"Mar 30, 2022","$ 17,00,000.00",Seed,"$ 28,19,235.00",Inflection Point Ventures,GAIL,Eagle10 Ventures,Sattva Group,Nanavati Family Office,13
The Hosteller,Hospitality,Hotel,Mumbai,Maharashtra,The Hosteller creates happy memories for our travellers in 18+ different locations and continue to expand with gusto.,—,—,2014,thehosteller.com,2,Pranav Dangi,Sumit Mishra,51-100,3,Seed,"Nov 1, 2021","$ 10,00,000.00",Seed,"$ 10,90,000.00",JITO Angel Network,Faad Network,SunICON Ventures,Subhkam Ventures,Fao Ventures,7
sRide,Mobile Apps,Public Transportation,Gurgaon,Haryana,"sRide is a carpooling application that helps users to share the cost of travel, increase mobility and higher social connect among people",—,$1M to $10M,2014,www.sride.co,3,Amit Agrawal,Lakshna Chadha Jha,Nov-50,3,Seed,"Feb 19, 2018","$ 20,00,000.00",Angel,"$ 30,00,000.00",,,,,,—
LimeTray,Business Development,Email Marketing,Gurgaon,Haryana,LimeTray is a web-presence and web-marketing platform for local businesses.,122008,—,2013,limetray.com,2,Akhilesh Bali,Piyush Jain,01-Oct,4,—,"Jan 1, 2019","$ 6,71,329.00",Venture - Series Unknown,"$ 13,33,863.00",Matrix Partners India,Alteria Capital,Whiteboard Capital,JSW Ventures,The Hive,6
Shiprocket 360,Advertising,E-Commerce,New Delhi,Delhi,"Shiprocket 360 help SME’s, manufacturers, creative people and service providers set up their brands online.",—,$1M to $10M,2012,360.shiprocket.in,3,Gautam Kapoor,Saahil Goel,Nov-50,5,—,"Jan 17, 2018","₹ 26,64,00,000.00",Venture - Series Unknown,"$ 1,44,23,207.00",500 Global,BEENEXT,Bertelsmann,Bertelsmann India Investments,Nirvana Venture Advisors,8
Voylla,E-Commerce,Jewelry,Jaipur,Rajasthan,Imitation Jewellery and Accessories,302022,—,"May 1, 2012",www.voylla.com,1,Vishwas Shringi,,251-500,3,Early Stage Venture,"Oct 5, 2015","$ 1,50,00,000.00",Series B,"$ 1,54,65,722.00",Peepul Capital LLC,Snow Leopard Technology Ventures,,,,2
Shoptimize India,Commercial,E-Commerce,Pune,Maharashtra,Shoptimize specializes in cloud and AI-based software suite solutions for e-commerce businesses.,411007,$10M to $50M,"Oct 1, 2012",www.shoptimize.ai,2,Mangesh Panditrao,Vivek Phalak,51-100,3,M&A,"Apr 3, 2020","$ 32,23,072.00",Venture - Series Unknown,"$ 32,23,072.00",Tandem Capital,Twin Ventures,Saha Fund,,,3
CrelioHealth ( formerly LiveHealth ),Health Care,Management Information Systems,Pune,Maharashtra,"CrelioHealth enables Diagnostic Labs to automate at scale, improve patient experience and optimise operating costs for their business.",411021,—,"Oct 21, 2013",creliohealth.com,3,- -,Abhimanyu Bhosale,51-100,1,Seed,"Mar 5, 2018","$ 11,00,000.00",Seed,"$ 11,00,000.00",Nexus Venture Partners,,,,,1
Avanti Learning Centres,E-Learning,Education,New Delhi,Delhi,Avanti creates affordable blended-learning classroom programs where students learn better by working together.,110 049,$1M to $10M,"Nov 7, 2012",www.avanti.in,2,Akshay Saxena,Krishna Ramkumar,251-500,3,Early Stage Venture,"Feb 9, 2016","₹ 33,00,00,000.00",Series B,"₹ 38,60,00,000.00",Michael & Susan Dell Foundation,Asha Impact,Pearson Affordable Learning Fund (PALF),Ted Dintersmith,,4
Ather Electric Scooter Dealership Ather Energy Franchise Cost,,,Bengaluru,Karnataka,Ather Dealership opportunity in India Apply Ather Energy Dealership Application Ather Showroom Investment Franchise Cost and Profit,560047,—,"Nov 16, 2013",atherdealership.com/,—,,,10001,1,M&A,"Mar 4, 2018","$ 5,00,000.00",Seed,"$ 5,00,000.00",,,,,,—
NSPIRA Management Services,Education,Knowledge Management,Hyderabad,Andhra Pradesh,NSPIRA focuses mainly on educational institutions,500081,$1M to $10M,"Jun 26, 2013",www.nspira.in/,—,,,1001-5000,2,Private Equity,"Jul 12, 2018","$ 7,50,00,000.00",Private Equity,"$ 13,50,00,000.00",Morgan Stanley,BanyanTree Finance Pvt. Ltd.,CX Partners,Olympus Capital Holdings Asia,,4
MissMalini Entertainment,Marketing,Music,Mumbai,Maharashtra,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",—,$1M to $10M,Feb-11,www.missmalini.com,2,Malini Agarwal,Nowshad Rizwanullah,51-100,2,M&A,"Aug 28, 2018","₹ 10,40,00,000.00",Seed,"₹ 10,40,00,000.00",New Enterprise Associates,Orios Venture Partners,Rajan Anandan,Steven Lurie,,4
Core Diagnostics,Biotechnology,Health Care,Gurgaon,Haryana,Core Diagnostics is a Clinical laboratory focused on Next Generation Diagnostics for disease stratification and therapy selection.,122016,$1M to $10M,2012,corediagnostics.in,2,Arghya Basu,Zoya Brar,51-100,3,M&A,"Jan 1, 2019",—,Venture - Series Unknown,"$ 1,70,00,000.00",F-Prime Capital,Eight Roads Ventures,InnoVen Capital,Artiman Ventures,,4
Massive Restaurants,Food and Beverage,Hospitality,Gurgaon,Haryana,Massive Restaurants develops India’s premier brands of restaurants that specialize in targeting all segments of the market.,122 016,—,2012,www.massiverestaurants.com/,1,Zorawar Kalra,,1001-5000,1,—,"Dec 13, 2017","₹ 1,60,00,00,000.00",Venture - Series Unknown,"₹ 1,60,00,00,000.00",Gaja Capital,,,,,1
Tessol,Energy Efficiency,Logistics,Mumbai,Maharashtra,Tessol develops sustainable cold-chain technology solutions for cold-chain storage and logistics companies.,400701,$1M to $10M,2013,www.tessol.in/,1,Rajat Gupta,,Nov-50,5,—,"Jun 16, 2022","₹ 7,50,00,000.00",Venture - Series Unknown,"₹ 7,50,00,000.00",1Crowd,Mela Ventures,Ankur Capital,Malpani Ventures,Infuse Ventures,6
Eruvaka Technologies,Agriculture,AgTech,Vijayawada,Andhra Pradesh,Eruvaka Technologies manufactures on-farm diagnostic equipment for aquaculture farmers to reduce their risk and increase productivity.,520008,—,2012,www.eruvaka.com,1,Sreeram Raavi,,51-100,4,M&A,"Apr 30, 2018","$ 57,50,000.00",Series B,"$ 70,40,000.00",Omnivore,Nutreco,,,,2
EnerComp Solutions,Artificial Intelligence (AI),Drone Management,Ahmedabad,Gujarat,"EnerComp Solutions is a drone manufacturing, services, and AI tech startup.",380013,—,2013,www.enercomp.in,1,Jatin Patel,,Nov-50,2,Seed,"May 11, 2023","₹ 2,60,00,000.00",Seed,"₹ 4,10,00,000.00",ah! Ventures,Soonicorn Ventures,Bestvantage Investments,,,3
Ascent Health & Wellness Solutions,Health Care,,Mumbai,Maharashtra,Ascent is a pharma supply-chain company focussed at improving the accessibility to and affordability of effective healthcare.,400 077,—,2014,www.ahwspl.com,2,Hardik Dedhia,Harsh Parekh,1001-5000,2,Private Equity,"May 13, 2020","$ 20,00,000.00",Private Equity,"$ 6,09,44,226.00",JM Financial,Avendus Capital,Everstone,,,3
Ketto,Crowdfunding,Hedge Funds,Mumbai,Maharashtra,Ketto is an online network that allows users to support causes and connect with like-minded individuals and organizations.,400053,—,"Aug 15, 2012",ketto.org,3,Kunal Kapoor,Varun Sheth,01-Oct,3,Seed,"Jan 1, 2019",—,Angel,"$ 8,23,258.00",LetsVenture,ah! Ventures,The Chennai Angels,Mumbai Angels,Nihal Mehta,13
ZO Rooms,Hospitality,Leisure,New Delhi,Delhi,ZO Rooms is India's Fastest Growing Chain of Standardised Short Stay Accommodations with 600+ properties across 40 cities.,110020,$10M to $50M,2014,www.zorooms.com/,7,Abhishek Bhutra,Akhil Malik,251-500,2,Early Stage Venture,"Aug 4, 2015","$ 3,20,00,000.00",Series B,"$ 4,70,00,000.00",Tiger Global Management,Orios Venture Partners,,,,2
Mapmygenome,Genetics,Health Care,Hyderabad,Andhra Pradesh,Mapmygenome is a privately held company that provides molecular diagnostics services.,500081,$1M to $10M,"Aug 28, 2012",www.mapmygenome.in,1,Anu Acharya,,Nov-50,1,Seed,"Mar 25, 2015","$ 15,00,000.00",Seed,"$ 15,00,000.00",Rajan Anandan,Singapore Angel Network,Aarti Grover,Sarah Dhar,,4
AgriApp Technologies,Agriculture,AgTech,Bengaluru,Karnataka,AgriApp is an IT and IOT enabled technology company provides both field of agriculture and food sector.,560065,—,2014,www.agriapp.com,1,Basavaraj Girennavar,,Nov-50,1,Seed,"Mar 8, 2023","₹ 1,00,00,000.00",Pre-Seed,"₹ 1,00,00,000.00",Mintosh Advisory,,,,,1
Grab,Delivery,Enterprise Software,Mumbai,Maharashtra,Grab is a last mile logistics service for businesses and enterprises to manage their last mile deliveries.,400093,$100M to $500M,2014,www.grab.in,3,Jignesh Patel,Nishant Vora,1001-5000,5,M&A,"Feb 22, 2018","$ 15,00,000.00",Series A,"$ 72,94,000.00",Zomato,Sixth Sense Ventures,Aramex Ventures,SIDBI Venture Capital,Oliphans Capital,7
BuyHatke,E-Commerce,Internet,Bangalore City,Karnataka,BuyHatke.com is a price comparison portal for online shopping in India.,560095,$1M to $10M,"Jul 9, 2012",compare.buyhatke.com,2,Gaurav Dahake,Prashant Singh,01-Oct,1,Seed,"May 8, 2015","$ 10,00,000.00",Seed,"$ 10,00,000.00",Beenos Partners,Kris Gopalakrishnan,,,,2
Skillenza,Education,Human Resources,Bangalore,Karnataka,The optimum gap filler between required market-ready skills and the current college student skillset.,—,$1M to $10M,2012,skillenza.com,4,Prakash Kumar Tiwari,Prashant Koirala,Nov-50,4,M&A,"May 8, 2019","$ 10,00,000.00",Seed,"$ 20,19,749.00",Blume Ventures,LetsVenture,Tracxn,Indian Angel Network,Keiretsu Forum,21
Prozeal Infra,Environmental Consulting,Renewable Energy,Ahmedabad,Gujarat,Prozeal Infra creates sustainable & pro-environment energy solutions for future generations.,—,$50M to $100M,2013,www.prozealinfra.com/,—,,,51-100,1,Early Stage Venture,"Apr 4, 2023","₹ 32,50,00,000.00",Series A,"₹ 32,50,00,000.00",Alchemie Ventures,,,,,1
Consure Medical,Health Care,Medical,New Delhi,Delhi,Consure Medical is an emerging medical device company.,—,Less than $1M,2012,www.consuremedical.com,2,Amit Sharma,Nishith Chasmawala,Nov-50,4,Early Stage Venture,"Aug 15, 2022",—,Series B,"₹ 3,60,00,000.00",Accel,Indian Angel Network,Jayesh Parekh,India Innovation Fund,India Venture Partners,6
Kratikal,Cyber Security,Information Technology,Noida,Uttar Pradesh,"Kratikal is an end to end cyber security solutions provider. Solutions include VAPT, security compliance and security products.",201301,$10M to $50M,2012,www.kratikal.com/,3,Dip Jung Thapa,Paratosh Bansal,51-100,1,Seed,"Dec 4, 2019","$ 10,00,000.00",Seed,"$ 10,00,000.00",LetsVenture,Artha Group,Equentia Natural Resources,Rajeev Chitrabhanu (MAGNETIC),Gilda VC,8
MITRA,Agriculture,AgTech,Mumbai,Maharashtra,Mitra develops proprietary machines that is capable of applying prescribed quantity on a specified area.,—,—,"Apr 4, 2012",www.mitraweb.in,1,Devneet Bajaj,,501-1000,5,M&A,"Jan 1, 2018","$ 12,31,000.00",Series B,"$ 52,51,000.00",Mahindra Rise,Omnivore,,,,2
Kerovit,Architecture,Building Material,,,"Kerovit is a manufacturer of faucets, showers, hand shower, bathroom basins, toilets.",—,$1M to $10M,"Jan 1, 2014",kerovit.com/,1,India,Asia-Pacific (APAC),Nov-50,1,—,"Apr 28, 2018","₹ 64,50,00,000.00",Venture - Series Unknown,"₹ 64,50,00,000.00",Paresh Patel,,Westbridge Capital,,,1
Tracxn,Analytics,Big Data,Bengaluru,Karnataka,The largest data platform of Startups,560102,$1M to $10M,"Jun 1, 2013",tracxn.com,2,Abhishek Goyal,Neha Singh,101-250,6,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 45,00,000.00",Elevation Capital,3one4 Capital,Prime Venture Partners,Binny Bansal,Neeraj Arora,10
Healthkart,Dietary Supplements,E-Commerce,Gurgaon,Haryana,HealthKart offers fitness products and services to help consumers achieve their fitness goals.,122001,$100M to $500M,"Mar 1, 2011",healthkart.com,2,Chella Pandyan,Sameer Maheshwari,251-500,5,Late Stage Venture,"Nov 24, 2022","$ 13,50,00,000.00",Series H,"$ 19,60,00,000.00",IIFL Finance,Sequoia Capital,Intel Capital,Omidyar Network,Temasek Holdings,10
Courseplay,Consulting,Information Technology,Mumbai,Maharashtra,"Courseplay is an AI-powered employee experience platform focuses on offering on-the-job, social and formal learning to the workplace.",400021,$1M to $10M,"Mar 14, 2012",courseplay.co/,1,Arjun Gupta,,Nov-50,1,Seed,"Jan 6, 2022","₹ 2,75,00,000.00",Seed,"₹ 2,75,00,000.00",Inflection Point Ventures,,,,,1
EM3 AgriServices,Agriculture,AgTech,Noida,Uttar Pradesh,EM3 represents one of the first private sector ventures to tackle the field of farm mechanization and technology services.,201301,$1M to $10M,2013,em3agri.com/,1,Adwitiya Mal,,101-250,2,Early Stage Venture,"Aug 9, 2017","$ 1,00,00,000.00",Series B,"$ 1,33,00,000.00",Global Innovation Fund,Soros Economic Development Fund,,,,2
Absolute Barbecues,Food and Beverage,Hotel,Hyderabad,Andhra Pradesh,"Absolute Barbecues provides of a restaurant serving grilled meat, seafood, and other food products.",500032,$1M to $10M,2013,www.absolute-barbecue.com/,1,Prosenjit Roy Choudhury,,251-500,2,Early Stage Venture,"Dec 27, 2019","$ 1,34,00,000.00",Series B,"$ 2,41,00,000.00",General Atlantic,,,,,1
SparesHub,Automotive,E-Commerce,Pune,Maharashtra,"SparesHub is an online store for buying car spare parts online, easily and fast in India.",411045,$1M to $10M,"Sep 10, 2013",www.spareshub.com,2,Arijit Chakraborty,Tapas Gupta,51-100,3,—,"Mar 14, 2019","₹ 3,50,00,000.00",Venture - Series Unknown,"$ 12,75,178.00",The Chennai Angels,Anthill Ventures,Hyderabad Angels,M&S Partners,Ankur Agarwal,8
AdPushup,Advertising,Advertising Platforms,New Delhi,Delhi,"AdPushup is a revenue optimization platform that provides AdSense publishers, independent publishers, and enterprise media solutions.",—,$50M to $100M,2014,adpushup.com,2,Ankit Oberoi,Atul Agarwal,101-250,3,Early Stage Venture,"Aug 7, 2016",—,Series A,"$ 6,32,000.00",Kima Ventures,GENIEE,Utsav Somani,Paras Chopra,Zishaan Hayath,19
Pixuate,Artificial Intelligence (AI),Augmented Reality,Bengaluru,Karnataka,Pixuate is an AI-based video analytics company working on machine learning and deep learning that leverages existing CCTV infrastructure.,—,—,2012,pixuate.com/,3,Akshata Kari,Prathvi Palekar,Nov-50,3,Seed,"Aug 5, 2021","₹ 7,40,00,000.00",Seed,"₹ 7,40,00,000.00",Mumbai Angels,IIMA Ventures,SucSEED Indovation,"Technology Development Board, Government of India",,4
