company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Reniso,Insurance,Leasing,New Delhi,Delhi,An End-to-end property management startup.,110066,—,2017,www.reniso.com,2,Alok Srivastava,Nov-50,1,Seed,"Nov 15, 2017",—,Seed,—,,—,Nishit Sharma,,,,
Protto,Automotive,Information Technology,Mumbai,Maharashtra,Protto is a data-driven vehicle management platform.,—,—,"Oct 15, 2017",protto.in,2,Allan Pinto,Nov-50,1,Seed,"Sep 26, 2020",—,Pre-Seed,—,,—,Kunjan Hirpara,,,,
Primary Healthtech,Health Care,Health Diagnostics,Guwahati,Assam,Primary Healthtech is a technology-based manufacturer of next-generation healthcare predictive diagnostics.,781039,—,2018,www.primaryhealthtech.com/,—,,Nov-50,1,—,"Jan 1, 2022",—,Venture - Series Unknown,—,Pontaq,1,,,,,
ZiffyHealth,Consulting,Health Care,Pune,Maharashtra,"ZiffyHealth provides lab testing, e-clinic, and consulting services.",411014,—,2018,www.ziffytech.com,—,,101-250,1,Seed,"Sep 30, 2021",—,Pre-Seed,—,O2 Angels Network,1,,,,,
SelectDine,Artificial Intelligence (AI),Consulting,Hyderabad,Andhra Pradesh,"SelectDine focus on Restaurant Setup/Franchise, Restaurant Hiring Solutions, Restaurant Supply Chain Management and AI to manage Restaurant.",500034,—,"Mar 17, 2017",www.selectdine.com/,1,Saleem Javid,01-Oct,1,Seed,"Mar 17, 2017",—,Pre-Seed,—,,—,,,,,
HX Technologies,Software,,Bangalore,Karnataka,"Hx Technologies provides digital management services for OEMS, dealers, and independent workshops.",560061,—,2017,hxtechnologies.in/,—,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Auto Nebula Capital Advisers Private Limited,1,,,,,
Pragyaam,Analytics,Data Visualization,Bengaluru,Karnataka,Pragyaam provides information technology and data analytics services.,—,—,"Jan 1, 2017",www.pragyaam.in/,4,Aayush Agrawal,Nov-50,1,Seed,"May 1, 2019",—,Seed,—,Startup-O,1,Bharat Poddar,,,,
Rises.io,Artificial Intelligence (AI),Enterprise Software,Pune,Maharashtra,Rises.io offers AI and blockchain technology solutions.,411007,—,2017,rises.io/,—,,Nov-50,1,Seed,"Apr 6, 2022",—,Seed,—,,—,,,,,
SportsCafe,News,Publishing,Bangalore,Karnataka,SportsCafe is an online sports news platform.,—,—,Jan-18,sportscafe.in/,5,Gaurav Konar,Nov-50,1,Seed,"Feb 1, 2018",—,Pre-Seed,—,,—,Prabu Thiruppathy,,,,
Antariksh Technology Ventures (OPC) Pvt Ltd,Internet of Things,Mobile Apps,Hyderabad,Andhra Pradesh,"Smart City Startup - Urban Planning, Smart Solutions & Smart Public services as a service.",500033,—,"Feb 1, 2017",antariksh.co,1,Mahek Mahendra Shah,01-Oct,1,Seed,"Feb 2, 2017",—,Seed,—,,—,,,,,
MysticLand Global Citizenship Education,Education,Primary Education,Mumbai,Maharashtra,Alternate education programs integrated into schools,—,—,"Feb 13, 2018",mysticlandinschool.com/,1,Abhinaya Chandrasekhar,Nov-50,1,Seed,"Nov 1, 2020",—,Pre-Seed,—,,—,,,,,
Alba Watch(emmaus),Blockchain,Information Technology,Bengaluru,Karnataka,One-stop service platform: - Job search&recruitment - Work hour verification - Payment via blockchain application,—,—,"Feb 2, 2018",albawatch.net,—,,01-Oct,1,Seed,"Apr 30, 2019",—,Seed,—,SparkLabs Accelerator,1,,,,,
Appwharf,SaaS,Software,New Delhi,Delhi,Appwharf is an integrated dashboard for cloud applications.,110001,Less than $1M,"Sep 2, 2017",www.appwharf.co,2,Abhishek Tripathi,01-Oct,1,Seed,"Apr 19, 2018",—,Seed,—,,—,Akhand Mishra,,,,
