company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
AstroTalk,Consulting,Digital Entertainment,Noida,Uttar Pradesh,"AstroTalk is a platform to consult best Astrologers of India online, on-call, or through chat.",201301,—,"Oct 18, 2017",astrotalk.com/,1,Puneet Gupta,101-250,1,Early Stage Venture,"Feb 6, 2024","₹ 1,63,00,00,000.00",Series A,"₹ 1,63,00,00,000.00",Left Lane Capital,1,,,,,
Fasal,Agriculture,AgTech,Bengaluru,Karnataka,Fasal is an AI-powered IoT-SaaS platform for horticulture that simplifies the process of cultivating crops.,560008,Less than $1M,"Jan 11, 2018",fasal.co,5,Ananda Verma,51-100,8,Early Stage Venture,"Dec 22, 2023","₹ 1,00,00,00,000.00",Series A,"$ 1,39,51,090.00",Animoca Brands,20,Dhaval Chaudhary,Artesian VC,ITI Growth Opportunities Fund,British International Investment,Omnivore
Zupee,Apps,Digital Entertainment,Gurgaon,Haryana,Zupee is an online gaming company that develops real money-earning skill-based games.,122016,$10M to $50M,2018,www.zupee.com/,2,Dilsher Singh,101-250,5,Early Stage Venture,"Jan 5, 2022","$ 7,20,00,000.00",Series B,"$ 12,09,99,708.00",Alpha Wave Global,8,Siddhant Saurabh,Matrix Partners India,Orios Venture Partners,Tomales Bay Capital,Smile Group
OTO Capital,Automotive,Finance,Mumbai,Maharashtra,OTO Capital is a digital commerce and lending platform that provides affordable plans to purchase motor bicycles.,400076,$1M to $10M,2018,otocapital.in,2,Harsh Saruparia,251-500,7,—,"Feb 6, 2024","₹ 83,00,00,000.00",Venture - Series Unknown,"$ 2,03,31,221.00",500 Global,20,Sumit Chhazed,Venture Catalysts,9Unicorns Accelerator Fund,Matrix Partners India,Stride Ventures
Metafin,CleanTech,Financial Services,Parel,Maharashtra,Metafin is an operator of a non banking financial company intended to offer cleantech focused lending services for retail customers.,400013,—,2018,www.metafin.in/,—,,—,2,Early Stage Venture,"Feb 7, 2024","₹ 42,00,00,000.00",Series A,"₹ 44,00,00,000.00",Venture Catalysts,3,,Prime Venture Partners,Varanium Capital Advisors,,
Leverage Edu,Artificial Intelligence (AI),Career Planning,New Delhi,Delhi,AI-enabled marketplace designed to help students with their higher education and career growth plans,110001,$100M to $500M,Apr-17,www.leverageedu.com,1,Akshay Chaturvedi,51-100,10,Late Stage Venture,"Jul 3, 2023","$ 2,50,00,000.00",Series C,"$ 7,37,73,326.00",9Unicorns Accelerator Fund,52,,Mankind Pharma,Blume Ventures,Sprint Vc,Peyush Bansal
Karkhana.io,3D Printing,Manufacturing,Mumbai,Maharashtra,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,—,$1M to $10M,2018,karkhana.io/,1,Sonam Motwani,Nov-50,3,Early Stage Venture,"Jan 9, 2024","$ 63,00,000.00",Series A,"$ 78,00,000.00",Arkam Ventures,4,,Vertex Ventures Southeast Asia & India,SIG venture capital,Zone Startups In,
Noccarc,Health Care,Manufacturing,Pune,Maharashtra,Noccarc is a medical device company revolutionizing healthcare with smart medical devices and a digital platform to improve patient outcomes,411026,—,"Apr 24, 2017",noccarc.com/,2,Harshit Rathore,51-100,3,Seed,"Feb 13, 2024","₹ 16,60,00,000.00",Seed,"₹ 32,94,00,000.00",Indian Angel Network,6,Nikhil Kurele,SIDBI Venture Capital,Indian Institute of Technology Kanpur,IAN Fund,"Technology Development Board, Government of India"
VRO Hospitality,Hospitality,Hotel,Bangalore,Karnataka,"VRO Hospitality operates multi-format restaurants, cafes, and lounges across 18 outlets in Bengaluru.",560008,$100M to $500M,2018,vrohospitality.com/,3,Dawn Thomas,501-1000,4,—,"Jan 2, 2024","$ 1,00,00,000.00",Venture - Series Unknown,"$ 1,30,33,836.00",Axis Bank,8,Safdar Adhoor,Gruhas,Kunal Shah,UC Inclusive Credit,NB Ventures
Bookingjini,Hospitality,Information Technology,Bhubaneswar,Orissa,Bookingjini helps hotels to grow their revenue and productivity by providing them unique solutions.,751015,Less than $1M,"Jan 6, 2017",bookingjini.com,4,Deepak Dash,51-100,6,Seed,"Jan 25, 2024",—,Seed,"$ 38,67,885.00",Inflection Point Ventures,3,Gourab Kumar Nandy,Mumbai Angels,Apurva Salarpuria,,
Khatabook,Accounting,Financial Services,Bangalore,Karnataka,Khatabook is the fintech startup that provides a digital ledger app targeted primarily at small businesses.,560102,$10M to $50M,2018,khatabook.com,5,Ashish Sonone,101-250,5,Late Stage Venture,"Aug 24, 2021","₹ 7,43,00,00,000.00",Series C,"$ 18,67,08,974.00",Tencent,41,Dhanesh Kumar,Titan Capital,Y Combinator,Alpha Wave Global,Surge
Zypp Electric,Clean Energy,Delivery Service,Gurgaon,Haryana,Zypp Electric is an EV delivery app that operates in the last-mile space.,122003,$1M to $10M,"Aug 8, 2017",www.zypp.app,3,Akash Gupta,251-500,13,Early Stage Venture,"Feb 8, 2023","$ 2,50,00,000.00",Series B,"$ 7,55,93,101.00",Grip Invest,31,Rashi Agarwal,9Unicorns Accelerator Fund,Gogoro,Venture Catalysts,We Founder Circle
Toothsi,Dental,Health Care,Mumbai,Maharashtra,Toothsi provides clear aligners and oral care products to help straighten teeth and improve oral health.,400083,$10M to $50M,2018,toothsi.in,4,Anirudha Kale,501-1000,5,Late Stage Venture,"May 1, 2022","$ 4,00,00,000.00",Series C,"$ 8,69,93,947.00",IIFL Finance,17,Arpi Mehta,Eight Roads Ventures,Stride Ventures,Ramakant Sharma,Paramark Ventures
CRED,Credit Cards,Financial Services,Bangalore,Karnataka,CRED is a fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,560038,$100M to $500M,2018,www.cred.club,1,Kunal Shah,501-1000,9,Late Stage Venture,"Jun 9, 2022","₹ 6,17,00,00,000.00",Series F,"$ 80,14,92,149.00",General Catalyst,33,,Rainmatter Capital,Insight Partners,Alpha Wave Global,Hillhouse Investment
Grow Indigo,Agriculture,AgTech,Mumbai,Maharashtra,Grow Indigo develops a digital platform that provides biological and digital solutions to farmers for agriculture.,—,—,2018,www.growindigo.co.in,—,,251-500,2,—,"Jan 27, 2024","₹ 67,00,00,000.00",Venture - Series Unknown,"$ 1,40,60,858.00",Indigo,2,,Mahyco Seeds Ltd.,,,
Snitch,Fashion,Marketing,Bangalore,Karnataka,Snitch is a men's fast fashion clothing brand that primarily sells its products online.,560027,$10M to $50M,2018,www.snitch.co.in,1,Siddharth Dungarwal,Nov-50,2,Early Stage Venture,"Dec 13, 2023","₹ 1,10,00,00,000.00",Series A,"₹ 1,11,50,00,000.00",IvyCap Ventures,8,,SWC Global,Anupam Mittal,Aman Gupta,Peyush Bansal
Riskcovry,Insurance,InsurTech,Juhu,Maharashtra,Riskcovry is a SaaS platform that distributes insurance products for businesses and individuals.,400049,$1M to $10M,2018,riskcovry.com,—,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/riskcovry,https://www.crunchbase.com/person/chiranth-patil-4b9b,101-250,4,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/riskcovry,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/riskcovry,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/riskcovry,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/riskcovry,Sorabh Bhandari,Suvendu Prusty,",,,,",https://www.crunchbase.com/organization/omidyar-network-india-050e
Mobile Premier League,eSports,Gaming,Bengaluru,Karnataka,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,560103,$500M to $1B,2018,www.mpl.live,3,Sai Srinivas Kiran G,251-500,6,Late Stage Venture,"Sep 15, 2021","$ 15,00,00,000.00",Series E,"$ 37,55,00,000.00",Gaingels,21,Shubh Malhotra,Sequoia Capital,MDI Ventures,Pegasus Tech Ventures,Telstra Ventures
INDmoney,Financial Services,FinTech,Gurgaon,Haryana,INDmoney is a mobile app that consolidates and manages finances in one place.,122005,$10M to $50M,2018,www.indmoney.com,1,Ashish Kashyap,251-500,5,Late Stage Venture,"Mar 28, 2022","$ 1,10,00,000.00",Series D,"$ 15,38,91,230.00",Tiger Global Management,11,,Dragoneer Investment Group,Steadview Capital,Ashish Kashyap,Peyush Bansal
Lokal,Communities,Content,Bengaluru,Karnataka,"Lokal is a hyperlocal social media platform that enables users to share, interact and transact in their regional language.",560095,$1M to $10M,2018,www.getlokalapp.com,2,Jani Pasha,101-250,7,Early Stage Venture,"Apr 25, 2023","₹ 1,20,00,00,000.00",Series B,"$ 2,97,85,602.00",Tencent,13,Vipul Chaudhary,Global Brain Corporation,Google for Startups,Y Combinator,Soma Capital
fleetx.io,Analytics,Artificial Intelligence (AI),Gurgaon,Haryana,Fleetx is an intelligent fleet management platform that helps fleet owners improve their efficiency.,122018,$1M to $10M,Jul-17,www.fleetx.io,5,Abhay Jeet Gupta,101-250,5,Early Stage Venture,"Feb 22, 2022","₹ 1,45,00,00,000.00",Series B,"$ 2,60,80,095.00",IndiaMART,16,Parveen Kataria,Titan Capital,LetsVenture,First Cheque,BEENEXT
Brick&Bolt,Building Material,E-Commerce,Bengaluru,Karnataka,Brick&Bolt is an e-commerce marketplace providing end-to-end construction services with absolute trust and transparency.,560025,$1M to $10M,"Oct 1, 2017",www.bricknbolt.com,2,Arpit Rajpurohit,Nov-50,5,Early Stage Venture,"Jan 9, 2023","₹ 40,00,00,000.00",Series A,"$ 1,06,03,882.00",Surge,7,Jayesh Rajpurohit,Celesta Capital,Accel India,Foundamental,Aakash Goel
Plix Life,Fitness,Health Care,Mumbai,Maharashtra,Plix creates plant based nutritional foods to maximise efforts made for the body.,400012,$1M to $10M,2018,www.plixlife.com,2,Akash Zaveri,101-250,1,M&A,"Dec 15, 2021","₹ 38,00,00,000.00",Series A,"₹ 38,00,00,000.00",Guild Capital,2,Rishubh Satiya,RPSG Capital Ventures,,,
Neemans,E-Commerce,Fashion,Hyderabad,Andhra Pradesh,Neemans is a footwear startup that offers natural fiber footwear for men and women.,500082,$1M to $10M,2018,neemans.com/,2,Amar Preet Singh,51-100,4,Early Stage Venture,"Jun 2, 2022","₹ 40,00,00,000.00",Series B,"$ 97,97,754.00",Stride Ventures,10,Taran Chhabra,Anicut Capital,Sixth Sense Ventures,Ashvin Chadha,Dominor Investment
Redcliffe Labs,Emergency Medicine,Health Care,Noida,Uttar Pradesh,Redcliffe is a diagnostics service provider that offers radiology and pathology services.,201301,$50M to $100M,2018,redcliffelabs.com,3,Aditya Kandoi,1001-5000,5,—,"Feb 21, 2023",—,Venture - Series Unknown,"$ 10,79,33,880.00",LeapFrog Investments,13,Ashish Dubey,Y Combinator,Rebel Fund,VU Venture Partners,Schroders
Cashinvoice,Digital Marketing,Financial Services,Mumbai,Maharashtra,Cashinvoice is a fintech provider for supply chain financing.,—,$1M to $10M,"Jan 1, 2018",cashinvoice.in,3,Arun Poojari,Nov-50,2,Early Stage Venture,"Feb 7, 2024","₹ 28,20,00,000.00",Series A,"$ 43,98,348.00",HDFC Bank,3,Joicy Chakola,Accion Venture Lab,Pravega Ventures,,
Magenta Mobility,Automotive,Clean Energy,Mumbai,Maharashtra,Magenta Mobility is a provider of EV charging and mobility solutions to the urban freight and transportation segment.,400705,$1M to $10M,"Feb 15, 2018",www.magentamobility.com,2,Darryl Dias,101-250,6,Early Stage Venture,"Feb 10, 2023","$ 2,20,00,000.00",Series A,"$ 5,82,25,399.00",LetsVenture,8,Maxson Lewis,BP Ventures,JITO Angel Network,Uday Kumar Bangalore Shivaraman,Hindustan Petroleum Corporation Limited
Aquaconnect,AgTech,Aquaculture,Chennai,Tamil Nadu,Aquaconnect is an aquaculture platform that uses AI and satellite remote sensing to decarbonize the seafood value chain.,600025,$1M to $10M,"Apr 24, 2017",aquaconnect.blue,1,Rajamanohar Somasundaram,101-250,7,Early Stage Venture,"Jan 31, 2024","₹ 33,00,00,000.00",Series B,"$ 3,14,72,138.00",AgFunder,12,,Louis Dreyfus Company,Google for Startups,S2G Ventures,Omnivore
Skye Air Mobility,Delivery Service,Drones,New Delhi,Delhi,Skye Air Mobility is a leading drone delivery tech firm.,110037,$1M to $10M,2018,skyeair.tech,—,,01-Oct,1,Seed,"Nov 9, 2022","₹ 13,90,00,000.00",Seed,"₹ 13,90,00,000.00",LetsVenture,10,,Agility Ventures,Chiratae Ventures,Ankit Nagori,Lead Angels Network
ThoreCoin,Bitcoin,Blockchain,Bengaluru,Karnataka,"ThoreCoin 2.0 Unveiled, Revolutionary AI Capabilities to Empower the Future of Digital Currency & AI Based Educational Platform #EDTech.",—,—,"Jan 5, 2018",thorecoin.com/,,,,,,,,,,,,,,,,
with an additional focus on DeFi integration. The relaunch of Thorecoin 2.0 brings advanced AI capabilities,enhanced security measures,Thorecoin offers AI-based courses for students in grades 6-10. This educational initiative aims to provide foundational knowledge in artificial intelligence and blockchain technology. The curriculum covers essential concepts such as machine learning,—,—,https://www.crunchbase.com/person/alok-kumar-304f,Early Stage Venture,"Jan 26, 2024",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/thore-network,"$ 5,00,000.00",,,,,,,,,,,,,,,,
WhiteHat Jr.,Education,Information Technology,Andheri,Maharashtra,Whitehar Jr - leading and best computer programming learning websites teaching kids to code.,400059,Less than $1M,2018,www.whitehatjr.com,1,Karan Bajaj,101-250,3,M&A,"Jul 1, 2020",—,Venture - Series Unknown,"$ 1,12,94,388.00",Omidyar Network,4,,Nexus Venture Partners,Owl Ventures,Bossanova Investimentos,
&ME,Food and Beverage,Food Processing,Bangalore,Karnataka,&Me is a lifestyle nutrition brand creating bioactive beverages for women.,560034,$1M to $10M,"Sep 27, 2017",andme.in/,1,Ankur Goyal,Nov-50,3,M&A,"Jan 18, 2020","$ 6,76,000.00",Seed,"$ 20,64,000.00",AngelList,5,,Matrix,Matrix Partners India,Sauce.vc,Capier Investments
1K Kirana Bazaar,Consumer,E-Commerce,Gurgaon,Haryana,1K Kirana Bazaar is a neighborhood store network that changes the shopping experience.,122003,$10M to $50M,2018,www.1knetworks.com/,5,Abhishek Halder,251-500,3,Early Stage Venture,"Apr 6, 2022","₹ 1,95,00,00,000.00",Series B,"₹ 2,47,00,00,000.00",Alpha Wave Global,8,Anilesh Yadav,Info Edge ventures,Kae Capital,Rajesh Yabaji,ANME
Ati Motors,Electric Vehicle,,Mallesvaram,Karnataka,Ati Motors is an all-electric autonomous industrial vehicle maker.,560 003,$1M to $10M,"Feb 1, 2017",www.atimotors.com/,3,Saad Naseer,Nov-50,3,—,"Oct 10, 2023","$ 68,67,560.00",Venture - Series Unknown,"$ 2,12,20,815.00",Blume Ventures,6,Saurabh Chandra,LetsVenture,True Ventures,Exfinity Venture Partners,MFV Partners
Mylo,Baby,Health Care,Gurgaon,Haryana,Mylo helps young parents raise Happy & Healthy families by being a trusted companion throughout their parenting journey.,122002,$10M to $50M,2018,mylofamily.com,1,Vinit Garg,51-100,4,Early Stage Venture,"Apr 20, 2022","₹ 1,29,00,00,000.00",Series B,"$ 2,34,12,165.00",W Health Ventures,8,,Alteria Capital,Fosun RZ Capital,InnoVen Capital,ITC
Loop Health,Fitness,Health Care,Pune,Maharashtra,Loop Health is bringing ease and choice to patients seeking major medical treatments.,—,$10M to $50M,Dec-17,www.loophealth.com/,3,Amrit Singh,01-Oct,4,Early Stage Venture,"Apr 19, 2022","$ 2,50,00,000.00",Series B,"$ 3,93,00,000.00",General Catalyst,21,Mayank Kale,Elevation Capital,Y Combinator,Khosla Ventures,Soma Capital
PhableCare,Health Care,Mobile Apps,Bangalore,Karnataka,PhableCare creates an ecosystem of health care providers to manage chronic diseases.,560102,$1M to $10M,"Oct 10, 2017",phablecare.com,3,Mukesh Bansal,101-250,9,Early Stage Venture,"Apr 11, 2022","₹ 1,87,00,00,000.00",Series B,"$ 4,02,31,579.00",Inflection Point Ventures,21,Prasanth Reddy,Google for Startups,91springboard,Manipal Hospitals,SOSV
ITI Growth Opportunities Fund,Finance,Financial Services,Mumbai,Maharashtra,ITI Growth Opportunities Fund is an early stage venture capital fund of the Investment Trust of India group.,—,—,2018,www.itigo.in,1,Mohit Gulati,01-Oct,2,Seed,"Nov 16, 2021","₹ 4,40,00,000.00",Pre-Seed,"$ 11,90,930.00",Konglo Ventures,6,,Keerthy Suresh,Aju Jacob,Vineet Kumar,Kathir ..
Rupyz,Financial Services,FinTech,Bengaluru,Karnataka,Rupyz is a fintech company serving MSMEs.,—,—,"Jan 1, 2018",rupyz.com/,2,Dhaval Radia,01-Oct,1,Seed,"Feb 5, 2024","$ 12,00,000.00",Seed,"$ 12,00,000.00",Merak Ventures,1,Gourav Gupta,,,,
LiquiLoans,Financial Services,,Mumbai,Maharashtra,Liquiloans is a Peer to Peer Lending platform,—,$1M to $10M,2018,www.liquiloans.com/,2,Achal Mittal,Nov-50,4,—,"Sep 19, 2022","$ 1,00,00,000.00",Venture - Series Unknown,"$ 1,17,84,442.00",Venture Catalysts,7,Gautam Adukia,CRED,Matrix Partners India,Kunal Shah,Rajesh Mane
Kaleidofin,Credit,Finance,Chennai,Tamil Nadu,"Kaleidofin is a digital financial service platform that provides savings, investment, credit, and insurance services.",600113,$1M to $10M,2018,kaleidofin.com,2,Puneet Gupta,101-250,4,Early Stage Venture,"May 3, 2022","$ 50,00,000.00",Series B,"$ 2,28,81,119.00",Bill & Melinda Gates Foundation,8,Sucharita Mukherjee,Blume Ventures,Omidyar Network,Oikocredit International,Flourish Ventures
Headfone,Audio,Audiobooks,Bangalore,Karnataka,"Headfone is a social audio platform where you can record, listen and share audios.",560038,$1M to $10M,Oct-17,www.headfone.co.in/,2,Pratham Khandelwal,01-Oct,3,Early Stage Venture,"Apr 19, 2022","₹ 76,00,00,000.00",Series B,"₹ 98,00,00,000.00",Hashed,8,Yogesh Sharma,Elevation Capital,Fosun RZ Capital,Axilor Ventures,Seung Yoon Lee
Padcare Labs,Industrial Engineering,Waste Management,Pune,Maharashtra,Padcare Labs offers future of hygiene to make modern sanitation safer and recyclable for women.,411008,$10M to $50M,2018,www.padcarelabs.com/,1,Ajinkya Dhariya,Nov-50,5,Seed,"Feb 9, 2023","₹ 5,00,00,000.00",Seed,"$ 8,29,305.00",Rainmatter Capital,11,,United States Agency for International Development,Anupam Mittal,Peyush Bansal,Vineeta Singh
Game Theory,Fitness,Gamification,Bangalore,Karnataka,Game Theory is a sports and tech startup that brings in video-gaming like experience for real world sports.,—,$1M to $10M,2018,www.gametheory.in/,1,Sudeep Kulkarni,Nov-50,3,Seed,"Oct 16, 2023","₹ 16,60,00,000.00",Seed,"$ 24,65,270.00",Techstars,6,,Rainmatter Capital,WEH Ventures,Prequate Advisory,Balakrishna Adiga
Digantara,Satellite Communication,Space Travel,Bengaluru,Karnataka,Digantara is an indian space technology company incubated at the indian institute of science.,560012,$1M to $10M,2018,www.digantara.co.in/,3,Anirudh Sharma,01-Oct,3,Early Stage Venture,"Jun 20, 2023","$ 1,00,00,000.00",Series A,"$ 1,25,63,167.00",Global Brain Corporation,7,Rahul Rawat,Kalaari Capital,Peak XV Partners,Campus Fund,Yatin Shah
GetMega,Casual Games,Gaming,Bengaluru,Karnataka,GetMega is an online real-money gaming platform that offers fun games to play with friends and family on videochat.,—,$1M to $10M,Jan-18,www.getmega.com/,2,Lokesh Jugad,01-Oct,3,Early Stage Venture,"Sep 6, 2021","₹ 1,10,16,30,000.00",Series B,"$ 2,60,96,776.00",Hashed,3,Mayank Ram,Nexus Venture Partners,Accel India,,
Artivatic.ai,Artificial Intelligence (AI),Employee Benefits,Bangalore,Karnataka,"AI powered Healthtech & Insurtech Platform. Smart Underwriting, AIHealth Claims, Patient Health App, Unified Provider Health System.",560102,$1M to $10M,"Jan 5, 2018",artivatic.ai,2,Layak Singh,51-100,6,M&A,"Feb 15, 2022","₹ 6,00,00,000.00",Series A,"$ 25,51,160.00",KFintech,8,Puneet Tandon,Indian Angel Network,SenseAI Ventures,Scale Ventures,Rahul Sood
SarvaGram,Social,Social Entrepreneurship,Mumbai,Maharashtra,SarvaGram is a fintech startup offering financial and capacity-enhancing products for rural households.,—,$1M to $10M,"Jan 1, 2018",sarvagram.com/,2,Sameer Mishra,51-100,3,Late Stage Venture,"Jan 3, 2022","$ 3,50,00,000.00",Series C,"$ 4,89,78,019.00",Elevation Capital,4,Utpal Isser,Temasek Holdings,Elevar Equity,TVS Capital Funds,
Salesken,Artificial Intelligence (AI),Machine Learning,Bangalore,Karnataka,Salesken is a conversational intelligence platform that gives insight into customer-salesperson interactions.,—,$10M to $50M,2018,salesken.ai,2,Sreeraman Vaidyanathan,101-250,3,Early Stage Venture,"Nov 22, 2021","$ 2,20,00,000.00",Series B,"$ 3,00,00,000.00",Everywhere Ventures (The Fund),8,Surga Thilakan,M12 - Microsoft's Venture Fund,Bossanova Investimentos,Michael & Susan Dell Foundation,Evolution VC Partners
hBits,Property Management,Real Estate,Mumbai,Maharashtra,HBits is a fractional ownership platform for real estate investments.,—,$1M to $10M,"Jan 1, 2018",hbits.co,2,Max Egan,Nov-50,3,Seed,"Sep 10, 2022","₹ 20,00,00,000.00",Angel,"₹ 20,00,00,000.00",Arjun Vaidya,15,Shiv Parekh,peercheque,InCred Capital,Aakrit Vaish,Snow Leopard Technology Ventures
Eekifoods,Agriculture,AgTech,Rajasthan,India,Eekifoods develops a unique and proprietary vegetable growing technology.,324008,$1M to $10M,2018,eekifoods.com/,2,Amit Kumar,",",Nov-50,6,Early Stage Venture,"Apr 19, 2022","₹ 50,00,00,000.00",Series A,General Catalyst,",,,,",Better Capital,,,,
LotusPay,Billing,E-Commerce,Gurgaon,Haryana,LotusPay is the recurring payments solution for businesses in India.,122002,$1M to $10M,"Jun 1, 2017",www.lotuspay.com,1,Atma Krishna,01-Oct,2,M&A,"Dec 1, 2017",—,Seed,"$ 1,20,000.00",Y Combinator,1,,,,,
Sanfe,Health Care,Manufacturing,New Delhi,Delhi,Sanfe is a female hygiene brand that offers natural personal and period care products.,110016,$1M to $10M,"Dec 1, 2017",sanfe.in,2,Archit Agarwal,Nov-50,4,Early Stage Venture,"Nov 7, 2022","₹ 12,30,00,000.00",Series A,"$ 41,70,626.00",Titan Capital,18,Harry Sehrawat,LetsVenture,Arjun Vaidya,Uday Kumar Bangalore Shivaraman,Tarun Sharma
RACEnergy,Automotive,Battery,Hyderabad,Andhra Pradesh,RACEnergy is a deep technology company for battery swapping that offers tech solutions for 2W and 3W to go electric.,—,$10M to $50M,2018,www.racenergy.in,2,Arun Sreyas Reddy,Nov-50,7,Seed,"May 9, 2023","$ 30,00,000.00",Seed,"$ 70,45,649.00",Huddle,9,Gautham Maheswaran,growX ventures,T-Hub,Micelio Fund,Abhishek Deo
EkAnek Networks,E-Commerce,Internet,Delhi,Delhi,EkAnek Networks  is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories.,—,$1M to $10M,2018,ekanek.io/,2,Chandranshu Sinha,Nov-50,2,Early Stage Venture,"Sep 14, 2020","₹ 40,00,00,000.00",Series A,"$ 1,54,50,583.00",Alpha Wave Global,4,Kartik Sheth,Matrix Partners India,Peak XV Partners,Lightspeed India Partners,
Redrob,Artificial Intelligence (AI),Software,Noida,Uttar Pradesh,Redrob is a people discovery platform that employs artificial intelligence to restructure the people data into a intelligible manner.,—,—,2018,redrob.io,—,,101-250,1,Seed,"Dec 19, 2023","$ 40,00,000.00",Seed,"$ 40,00,000.00",Market Kurly,5,,MUSINSA,Yanolja,Murex Partners,DS&Partners
Easy Home Finance,FinTech,Information Technology,Mumbai,Maharashtra,Easy Home Finance is a mortgage-tech startup.,400054,$1M to $10M,Jan-18,www.easyhomefinance.in/,2,Hrishikesh Gandhi,51-100,2,Early Stage Venture,"Jul 28, 2021","₹ 1,11,40,00,000.00",Series A,"₹ 1,11,40,00,000.00",FinSight Ventures,7,Rohit Chokhani,Xponentia Capital Partners,Integra Software Services,RaSa Future Fund,Harbourfront Capital
Mom's Home,Baby,Fashion,Jaipur,Rajasthan,"Mom's Home is a baby essentials firm that provides sustainable, eco-friendly, and handcrafted products.",302018,—,2018,www.momshome.in,—,,51-100,1,Seed,"Jan 29, 2024","₹ 5,00,00,000.00",Seed,"₹ 5,00,00,000.00",Prime Venture Partners,3,,Mistry Ventures,SIDBI,,
GlowRoad,E-Commerce,Retail,Bangalore,Karnataka,GlowRoad is a social selling platform that lets users resell products directly from manufacturers and wholesalers through social networks.,560049,$1M to $10M,Jun-17,glowroad.com/,5,Kunal Sinha,51-100,4,M&A,"Nov 2, 2020","$ 70,00,000.00",Venture - Series Unknown,"$ 3,13,00,000.00",Accel,7,Nilesh Padariya,Vertex Ventures,CDH Investments,Korea Investment Partners,Vertex Ventures Southeast Asia & India
Satyukt,Agriculture,Analytics,Bengaluru,Karnataka,Satyukt is an agritech company that provides business to business agricultural data and services.,—,$1M to $10M,"Jan 1, 2018",satyukt.com/,2,Sat Kumar Tomer,Nov-50,3,Seed,"Jun 13, 2023","₹ 10,00,00,000.00",Seed,"₹ 14,20,00,000.00",Nabventures,3,Yukti Gill,Social Alpha,ANIC-ARISE,,
Nymble,Restaurants,,Bengaluru,Karnataka,Nymble builds cooking robots for domestic households to help them put home-cooking on auto-pilot.,560075,Less than $1M,"Sep 20, 2017",www.eatwithnymble.com,2,Raghav Gupta,Nov-50,4,—,"Oct 6, 2023","$ 74,95,383.00",Venture - Series Unknown,"$ 82,69,383.00",WaterBridge Ventures,8,Rohin Malhotra,021 Capital,Binny Bansal,Accel Atoms,Saka Ventures
MintOak Innovations,Banking,Finance,Mumbai,Maharashtra,"Mintoak offers a modularized, cloud-native and API-first platform that helps banks to broaden their payment offerings to merchants.",400053,$1M to $10M,"Jul 22, 2017",mintoak.com,3,Rama Tadepalli,Nov-50,3,Early Stage Venture,"Feb 21, 2023","₹ 1,65,00,00,000.00",Series A,"₹ 2,11,24,00,000.00",HDFC Bank,5,Raman Khanduja,British International Investment,PayPal Ventures,Pravega Ventures,White Whale Ventures
Sensibull,Financial Services,Trading Platform,Bangalore,Karnataka,Sensibull is an investment management platform for investors in retail.,—,Less than $1M,"Aug 1, 2017",sensibull.com/,2,Abid Hassan,Nov-50,1,Seed,"Aug 23, 2018","₹ 2,50,00,000.00",Seed,"₹ 2,50,00,000.00",Rainmatter Capital,1,Balajee Ramachandran,,,,
CoinDCX,Blockchain,Cryptocurrency,Mumbai,Maharashtra,CoinDCX operates as a cryptocurrency exchange aggregator.,400076,$10M to $50M,2018,coindcx.com,2,Neeraj Khandelwal,251-500,8,Late Stage Venture,"Apr 19, 2022","$ 13,50,00,000.00",Series D,"$ 24,69,91,362.00",Republic,28,Sumit Gupta,Bain Capital Ventures,Polychain,Kindred Ventures,B Capital
Wellversed,Fitness,Health Care,Delhi,Delhi,Wellversed owns and operates a portfolio of nutrition and supplement brands to maximise human potential.,—,$1M to $10M,"Mar 1, 2018",www.wellversed.in,3,Aanan Khurma,101-250,9,Early Stage Venture,"Jan 1, 2023","$ 75,00,000.00",Series A,"$ 1,07,00,000.00",The Circle Founders Club,12,Aditya Seth,Velocity,Klub,Huddle,Jubilant FoodWorks
Freakins,E-Commerce,Fashion,Mumbai,Maharashtra,Freakins is a denim clothing company that believes in being both bold and comfy.,—,$1M to $10M,2018,freakins.com,—,,101-250,1,Seed,"Jul 5, 2023","₹ 33,00,00,000.00",Seed,"₹ 33,00,00,000.00",Blume Ventures,11,,Matrix Partners India,Sprint Vc,Asish Mohapatra,Revant Bhate
