Company,Funding Round,Amount,Date,RupeesAmount
Lavie,Venture - Series Unknown,"₹750,000,000","Oct 11, 2023",750000000
UNIREC,Seed,"₹15,000,000","Jan 8, 2024",15000000
InCruiter,Debt Financing,"₹11,000,000","Jan 8, 2024",11000000
Wow! Momo,Series D,"₹750,000,000","Oct 25, 2023",750000000
Crib,Seed,"₹150,000,000","Jun 21, 2023",150000000
Freakins,Seed,"₹330,000,000","Jul 5, 2023",330000000
AuditCue,Seed,"₹120,000,000","Oct 10, 2023",120000000
Roopya,Seed,"₹50,900,000","Jun 24, 2023",50900000
Klassroom Edutech,Venture - Series Unknown,"$450,000","Oct 31, 2023",33750000
InMobi,Debt Financing,—,"Jan 1, 2014",0
Reliance Retail,Private Equity,"₹82,780,000,000","Aug 23, 2023",82780000000
Clensta,Venture - Series Unknown,"₹750,000,000","Jul 10, 2023",750000000
Techmaghi,Seed,"₹2,000,000","Oct 28, 2023",2000000
Medway Hospitals,Venture - Series Unknown,"₹416,000,000","Jan 4, 2024",416000000
Ati Motors,Series A,"₹890,000,000","Jul 21, 2023",890000000
Tagda Raho,Angel,—,"Nov 23, 2023",0
VRO Hospitality,Debt Financing,—,"Jan 2, 2024",0
Alok Industries,Post-IPO Equity,"₹33,000,000,000","Jan 2, 2024",33000000000
Trential,Seed,"$2,000,000","Jul 26, 2023",150000000
Aham Housing Finance,Venture - Series Unknown,"₹300,000,000","Nov 2, 2023",300000000
ProjectX.Cloud,Seed,"₹17,000,000","Dec 29, 2023",17000000
Sploot,Seed,"₹66,000,000","Sep 4, 2023",66000000
CyberPeace Foundation,Grant,"₹330,000,000","Oct 21, 2023",330000000
Pushp Brand,Venture - Series Unknown,"₹1,000,000,000","Dec 28, 2023",1000000000
Voosh Software technologies,Pre-Seed,—,"Dec 22, 2020",0
JK Tyre & Industries,Post-IPO Equity,"₹5,000,000,000","Jan 1, 2024",5000000000
Entitled Solutions,Seed,"₹108,000,000","Dec 27, 2023",108000000
The Cube Club,Seed,"₹91,000,000","Oct 3, 2023",91000000
Unipe,Pre-Seed,"$2,000,000","Aug 20, 2022",150000000
Blubirch,Series A,"₹530,000,000","Oct 25, 2023",530000000
Raptee Energy,Grant,"₹32,700,000","Apr 6, 2023",32700000
SINSA Seoul Cafe,Non-equity Assistance,—,"Dec 11, 2023",0
Navana Tech,Non-equity Assistance,—,"Dec 27, 2021",0
Wakaw.live,Non-equity Assistance,—,"Dec 27, 2021",0
Farmonaut Technologies Private Limited,Non-equity Assistance,—,"Dec 27, 2021",0
Janitri,Non-equity Assistance,—,"Dec 27, 2021",0
Atom360,Non-equity Assistance,—,"Dec 27, 2021",0
iBoson Innovations,Non-equity Assistance,—,"Dec 27, 2021",0
MERAQUI,Non-equity Assistance,—,"Jan 1, 2022",0
Vitra.ai,Non-equity Assistance,—,"Jan 1, 2022",0
Swaasa,Non-equity Assistance,—,"Jan 1, 2022",0
Skyware,Non-equity Assistance,—,"Jan 1, 2022",0
All Is Well,Seed,"₹20,700,000","Aug 9, 2023",20700000
Vidcare Innovations,Non-equity Assistance,—,"Dec 27, 2021",0
Rapid,Pre-Seed,"₹22,000,000","Oct 25, 2023",22000000
Waaree,Venture - Series Unknown,"₹10,000,000,000","Aug 2, 2023",10000000000
SkinQ,Seed,"₹30,000,000","Dec 28, 2023",30000000
Niroggyan,Non-equity Assistance,—,"Dec 27, 2021",0
Cloud TV,Non-equity Assistance,—,"Jan 1, 2022",0
