Company,Funding Round,Amount,Date,RupeesAmount
Dubverse,Non-equity Assistance,—,"Jan 28, 2021",0
RecordBook,Non-equity Assistance,—,"Jan 28, 2021",0
Taskmonk,Non-equity Assistance,—,"Jul 20, 2020",0
eShipz,Non-equity Assistance,—,"Dec 20, 2019",0
SpiderG,Non-equity Assistance,—,"Dec 20, 2019",0
Shoppre.com,Non-equity Assistance,—,"Dec 20, 2019",0
Vicara,Non-equity Assistance,—,"Jul 20, 2020",0
Legistify,Non-equity Assistance,—,"Jul 20, 2020",0
Dozee,Non-equity Assistance,—,"Jul 20, 2020",0
The Cultor,Non-equity Assistance,—,"Feb 17, 2021",0
Eatabl,Non-equity Assistance,—,"Dec 20, 2019",0
qZense Labs,Non-equity Assistance,—,"Dec 20, 2019",0
Plutomen,Non-equity Assistance,—,"Jul 20, 2020",0
Krishitantra,Non-equity Assistance,—,"Jan 28, 2021",0
Vadootv,Non-equity Assistance,—,"Jul 20, 2020",0
Embright Infotech,Non-equity Assistance,—,"Jan 28, 2021",0
Aerchain,Non-equity Assistance,—,"Dec 20, 2019",0
Aikenist,Non-equity Assistance,—,"Jan 28, 2021",0
30M Genomics,Non-equity Assistance,—,"Jan 28, 2021",0
Neuron Energy,Seed,"₹2,000,000,000","Jul 12, 2023",2000000000
Dil Foods,Seed,"$2,000,000","Jul 25, 2023",150000000
Aikaan Lab Pvt Ltd,Non-equity Assistance,—,"Jul 20, 2020",0
Vacus Tech,Non-equity Assistance,—,"Jul 13, 2022",0
River,Series B,"₹1,230,000,000","Jun 6, 2023",1230000000
Living Food,Series A,"$1,324,998","May 26, 2023",99374850
Kidbea,Seed,"$1,000,000","May 1, 2023",75000000
Saltech Design Labs,Grant,"$100,000","Feb 8, 2023",7500000
THIRUMALS PAPER ARIZONA PVT. LTD.,Seed,"$2,500,000","May 5, 2023",187500000
Saarthi.ai,Seed,—,"Jul 1, 2022",0
GIVA,Series B,"₹2,000,000,000","Jul 5, 2023",2000000000
MOPP Foods,Seed,"₹7,500,000","Jan 20, 2023",7500000
Namdev Finvest,Series A,"₹350,000,000","Sep 25, 2021",350000000
JustMyRoots,Angel,—,"Jul 7, 2023",0
Aditya Birla Capital,Post-IPO Equity,"₹30,000,000,000","Jun 30, 2023",30000000000
Gladful,Seed,"₹5,000,000","Feb 24, 2023",5000000
GreenJams,Non-equity Assistance,—,"Mar 8, 2023",0
AU Small Finance Bank,Debt Financing,"$42,400,000","Mar 1, 2017",3180000000
Deltafour,Pre-Seed,—,"Apr 1, 2023",0
KarmaLifeAI,Seed,"₹440,000,000","Jun 1, 2023",440000000
Battery Smart,Series B,"₹2,720,000,000","Jul 6, 2023",2720000000
Black Eye Technologies,Series A,"$1,000,000","Sep 5, 2022",75000000
Smartstaff,Series A,"$6,200,000","Jul 4, 2023",465000000
Black Eye Technologies,Seed,"₹300,000","Aug 17, 2021",300000
Cleardekho,Seed,"$2,000,000","Jan 9, 2020",150000000
Digantara,Series A,"$10,000,000","Jun 20, 2023",750000000
Koparo Clean,Seed,"$1,500,000","Jun 6, 2023",112500000
Avenue Supermarts (D-Mart ),Private Equity,"₹5,610,000,000","Mar 7, 2017",5610000000
Sterlite Power,Private Equity,—,"Mar 1, 2021",0
Enzen Global Solutions,Private Equity,—,"Jul 23, 2014",0
mirrAR,Funding Round,"₹100,000,000","Jan 1, 2023",100000000
Reloy,Series A,"₹72,000,000","Jun 29, 2023",72000000
Origo Commodities,Debt Financing,"$20,000,000","Oct 5, 2021",1500000000
Nutrizoe,Convertible Note,"₹30,000,000","Jul 13, 2023",30000000
Evolved Foods,Seed,"₹75,000,000","Jun 15, 2023",75000000
HexaHealth,Seed,"$7,000,000","Sep 1, 2022",525000000
PropShare Capital,Series B,"$47,000,000","Jun 27, 2022",3525000000
Red Basil Technologies,Seed,—,"Jul 24, 2023",0
Neo Asset Management,Venture - Series Unknown,"₹4,000,000,000","May 5, 2022",4000000000
Ujjivan Financial Services,Venture - Series Unknown,"₹300,000,000","Feb 6, 2016",300000000
Okulo Aerospace,Pre-Seed,"₹82,000,000","Jul 11, 2023",82000000
Amara Raja Group,Post-IPO Secondary,"₹15,615,000,000","Jul 18, 2023",15615000000
Walko,Venture - Series Unknown,"₹910,000,000","May 24, 2023",910000000
UpGrad,Venture - Series Unknown,"$120,000,000","Apr 26, 2021",9000000000
ACME Cleantech Solutions Private Ltd,Debt Financing,"₹40,000,000,000","Jul 22, 2023",40000000000
rehook.ai (YC W22),Pre-Seed,"$1,900,000","Apr 1, 2022",142500000
Postcard Travel Stories,Angel,—,"Jan 1, 2022",0
Ashv Finance,Series D,"$3,500,000","Jan 1, 2018",262500000
Capillary Technologies,Series D,"$40,000,000","Jun 1, 2023",3000000000
Dobiee Foods,Seed,"₹7,200,000","Jan 21, 2023",7200000
Gro Club,Seed,"₹43,000,000","Jun 15, 2023",43000000
LineupX,Seed,—,"Jan 1, 2022",0
Intelisa,Seed,"$210,000","May 17, 2020",15750000
ESpotz,Seed,—,"Jan 1, 2023",0
NOTO,Seed,"$2,000,000","Mar 17, 2023",150000000
SoupX,Debt Financing,"₹2,500,000","Jan 5, 2023",2500000
Meolaa,Pre-Seed,"$165,000","Apr 18, 2023",12375000
Milesmate,Seed,—,"Jan 1, 2021",0
Drishta,Seed,—,"Jan 1, 2021",0
Qbit Supply Chain,Seed,—,"Jan 1, 2021",0
SoupX,Seed,"₹5,000,000","Jan 5, 2023",5000000
HoneyVeda,Seed,"₹5,000,000","Feb 1, 2023",5000000
GROWiT,Debt Financing,"₹5,000,000","Feb 26, 2023",5000000
Indian Institute of Technology Madras,Grant,"$1,000,000","Dec 20, 2022",75000000
HoneyVeda,Debt Financing,"₹2,500,000","Feb 1, 2023",2500000
